class,mAP50,mAP50_95,precision,recall
crazing,0.2713,0.0996,0.3165,0.1864
inclusion,0.8325,0.4147,0.6999,0.8161
patches,0.9942,0.7205,0.8644,1.0000
pitted_surface,0.9843,0.7395,0.8533,0.9744
rolled-in_scale,0.6373,0.3140,0.5805,0.5961
scratches,0.9687,0.5050,0.8859,0.9750
